Faculty,Year,Gender,Hr_SS  ,Hr_LL ,Resources_SS,Study_method ,Rem_LL,Rem_SS,Retain_SS_LL  ,Exam_recall,Challenge_LL  ,Challenge_SS,Long_term_retention ,Combine_LM_SS,Conceptual_understanding_LL ,Deeper_understanding_SS  
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,6-10 hours,YouTube Videos,Self-study,2,3,More from self-study,3,Difficulty remembering information after the lecture,Time management,Self-study,Sometimes,Maybe,Neutral
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,YouTube Videos,Both equally,3,4,More from self-study,3,Difficulty concentrating,Difficulty understanding complex topics,Both equally,Always,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,6-10 hours,Academic Journals,Both equally,3,3,More from self-study,4,Difficulty remembering information after the lecture,Difficulty understanding complex topics,Both equally,Often,Maybe,Agree
Faculty of Applied Sciences,4th Year,Male,6-10 hours,11-15 hours,YouTube Videos,Listening to lectures,3,3,More from self-study,3,Difficulty remembering information after the lecture,Lack of motivation,Both equally,Sometimes,No,Neutral
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,YouTube Videos,Both equally,2,4,More from self-study,5,Lack of engagement during long lectures,Lack of motivation,Self-study,Often,No,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,11-15 hours,YouTube Videos,Both equally,3,4,More from self-study,3,Difficulty remembering information after the lecture,Lack of motivation,Both equally,Often,Maybe,Agree
Faculty of Technology,3rd Year,Male,6-10 hours,16-20 hours,YouTube Videos,Both equally,3,4,More from self-study,4,Difficulty remembering information after the lecture,Time management,Self-study,Sometimes,No,Neutral
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,11-15 hours,Other,Both equally,3,4,More from self-study,4,Lack of engagement during long lectures,Lack of focus,Both equally,Always,Maybe,Agree
Faculty of Technology,3rd Year,Male,0-5 hours,11-15 hours,YouTube Videos,Self-study,2,4,More from self-study,4,Limited interaction with the lecturer,Difficulty understanding complex topics,Both equally,Sometimes,Maybe,Neutral
Faculty of Technology,3rd Year,Female,6-10 hours,16-20 hours,YouTube Videos,Self-study,3,5,More from self-study,4,Limited interaction with the lecturer,Time management,Both equally,Always,Yes,Agree
Faculty of Technology,3rd Year,Female,0-5 hours,11-15 hours,YouTube Videos,Both equally,4,4,More from lectures,3,Difficulty remembering information after the lecture,Lack of motivation,Both equally,Sometimes,Maybe,Neutral
Faculty of Technology,3rd Year,Female,11-15 hours,6-10 hours,YouTube Videos,Self-study,3,5,More from self-study,5,Difficulty remembering information after the lecture,Time management,Self-study,Often,No,Agree
Faculty of Technology,3rd Year,Male,0-5 hours,11-15 hours,YouTube Videos,Both equally,3,4,More from self-study,3,Difficulty concentrating,Lack of focus,Self-study,Often,Maybe,Agree
Faculty of Technology,3rd Year,Female,0-5 hours,16-20 hours,YouTube Videos,Both equally,3,4,More from self-study,3,Lack of engagement during long lectures,Lack of motivation,Both equally,Sometimes,No,Agree
Faculty of Technology,3rd Year,Female,16-20 hours,More than 20 hours,YouTube Videos,Both equally,4,5,More from self-study,4,Limited interaction with the lecturer,Time management,Both equally,Always,No,Agree
Faculty of Technology,3rd Year,Male,6-10 hours,0-5 hours,YouTube Videos,Both equally,2,4,More from self-study,4,Difficulty remembering information after the lecture,Time management,Both equally,Often,No,Agree
Faculty of Technology,3rd Year,Male,0-5 hours,0-5 hours,YouTube Videos,Self-study,3,3,More from self-study,4,Lack of engagement during long lectures,Lack of motivation,Self-study,Sometimes,Maybe,Agree
Faculty of Technology,3rd Year,Male,6-10 hours,6-10 hours,YouTube Videos,Both equally,5,3,More from self-study,3,Limited interaction with the lecturer,Difficulty understanding complex topics,Self-study,Sometimes,No,Agree
Faculty of Humanities and Social Sciences,3rd Year,Male,6-10 hours,0-5 hours,YouTube Videos,Both equally,4,4,More from self-study,3,Difficulty concentrating,Lack of focus,Listening to lectures,Often,Yes,Neutral
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,0-5 hours,YouTube Videos,Both equally,2,4,More from self-study,3,Difficulty concentrating,Lack of motivation,Self-study,Often,Yes,Agree
Faculty of Technology,3rd Year,Male,6-10 hours,11-15 hours,Other,Both equally,3,4,More from self-study,4,Lack of engagement during long lectures,Time management,Both equally,Always,Maybe,Strongly agree
Faculty of Technology,3rd Year,Female,0-5 hours,0-5 hours,Other,Both equally,3,4,More from self-study,4,Difficulty concentrating,Lack of motivation,Self-study,Sometimes,Maybe,Agree
Faculty of Technology,2nd Year,Male,6-10 hours,11-15 hours,YouTube Videos,Both equally,3,4,More from lectures,4,Difficulty concentrating,Time management,Both equally,Often,Maybe,Agree
Faculty of Technology,2nd Year,Male,6-10 hours,More than 20 hours,YouTube Videos,Both equally,2,4,More from self-study,3,Difficulty remembering information after the lecture,Time management,Self-study,Sometimes,No,Agree
